,Temp,Psi
218,22.03,-1.991055268
219,21.545,-1.597978161
220,20.655,-2.594071284
221,21.17,-2.866545187
222,21.435,-3.103284808
223,25.085,-3.78670296
224,27.74,-3.750968677
225,28.805,-3.633343331
226,29.555,-3.901350449
227,28.895,-4.151490426
228,24.705,-3.448716205
229,23.63,-3.325135145
230,22.44,-3.031816243
231,22.825,-3.347469071
232,22.255,-3.479983702
233,23.05,-3.073506239
234,24.315,-3.35789157
235,25.26,-3.560385837
236,25.655,-3.351935857
237,27.8,-3.139019091
238,28.44,-3.216443369
239,29.68,-3.742035107
240,28.275,-3.223888011
241,25.78,-2.467512367
242,23.415,-2.314152738
243,22.405,-2.531536289
244,21.82,-2.174193465
245,20.99,-2.281396312
246,20.765,-1.973188126
247,21.62,-1.706669937
248,25.155,-2.300752382
249,27.68,-2.619383067
250,29.75,-2.847189117
251,30.11,-2.667028777
252,28.98,-2.625338781
253,28.565,-3.401070495
254,28.04,-2.762320197
255,26.065,-2.2545956
256,23.025,-1.303170331
257,20.865,-0.385017365
258,20.305,-0.540838972
259,21.105,-0.607840752
260,24.35,-1.685824938
261,26.12,-2.299263453
262,29.56,-3.019904816
263,25.225,-2.832299833
264,23.67,-2.232261674
265,24.85,-2.550892359
266,26.875,-3.192620514
267,27.27,-3.40553728
268,27.14,-2.969281249
269,26.05,-3.003526603
270,25.64,-2.433267013
271,23.935,-2.087835616
272,24.94,-2.550892359
273,23.77,-1.545865666
274,21.61,-0.455970052
275,21.725,-0.788001092
276,16.98,-0.385017365
277,17.275,-0.385017365
278,19.37,-0.385017365
279,22.165,-0.441080767
280,25.225,-1.584577805
281,28.81,-3.280467292
282,29.525,-2.378176661
283,28.6,-2.125058827
284,27.29,-2.208438819
285,26.495,-2.412422015
286,25.735,-1.952343128
287,22.5,-1.538090373
288,21.13,-1.145793625
289,22.54,-1.054519282
290,20.59,-0.385017365
291,18.815,-0.385017365
292,19.495,-0.385017365
293,20.95,-0.385017365
294,20.525,-0.385017365
295,21.785,-0.42916934
296,23.885,-1.194478555
297,23.245,-0.385017365
298,23.475,-0.712065742
299,22.91,-0.575084326
300,21.475,-0.607840752
301,20.935,-0.385017365
302,22.44,-0.385017365
303,23.545,-1.082808923
304,22.39,-1.545865666
305,17.645,-0.385017365
306,13.625,-0.385017365
307,13.87,-0.385017365
308,14.505,-0.385017365
309,16.68,-0.385017365
310,19.145,-0.385017365
311,17.53,-0.385017365
312,14.745,-0.385017365
313,13.355,-0.385017365
314,14.925,-0.385017365
315,16.215,-0.385017365
316,18.125,-0.385017365
317,17.66,-0.385017365
318,13.95,-0.385017365
319,11.635,-0.4
320,14.47,-1.183673469
321,17.185,-1.281632653
322,19.475,-0.791836735
323,20.505,-1.640816327
324,21.77,-1.640816327
325,21.415,-1.934693878
326,19.26,-0.92244898
327,15.735,-1.053061224
328,11.26,-1.053061224
329,11.09,-1.510204082
330,10.615,-0.693877551
331,11.275,-1.118367347
332,12.91,-1.73877551
333,12.5,-1.248979592
334,13.66,-1.379591837
335,17.365,-1.73877551
336,17.275,-0.987755102
337,13.675,-0.432653061
338,16.21,-0.628571429
339,18.28,-0.432653061
340,18.63,-1.575510204
341,19.905,-1.706122449
342,18.67,-1.706122449
343,15.095,-0.726530612
344,11.47,-0.628571429
345,11.3,-1.575510204
346,12.035,-1.836734694
347,9.305,-1.281632653
348,8.805,-1.575510204
349,10.6,-1.542857143
350,11.51,-1.640816327
351,14.185,-1.967346939
352,12.365,-0.726530612
353,10.235,-1.869387755
354,10.92,-1.444897959
355,12.44,-1.053061224
356,12.975,-1.542857143
357,11.335,-0.563265306
358,9.955,-1.183673469
359,8.535,-0.987755102
360,10.18,-1.346938776
361,7.68,-1.902040816
362,9.59,-1.706122449
363,10.28,-1.542857143
364,10.84,-0.824489796
365,8.105,-1.510204082
366,9.245,-1.902040816
367,10.55,-1.151020408
368,13.08,-1.771428571
369,16.51,-1.412244898
370,19.58,-0.693877551
371,19.245,-0.465306122
372,16.805,-1.510204082
373,16.105,-1.902040816
374,14.275,-0.563265306
375,13.145,-0.4
376,13.59,-0.759183673
377,14.33,-0.530612245
378,14.835,-0.595918367
379,15.775,-1.902040816
380,16.5,-0.465306122
381,16.885,-0.628571429
382,16.935,-1.836734694
383,15.98,-1.118367347
384,14.275,-0.889795918
385,15.485,-1.608163265
386,16.03,-1.412244898
387,15.89,-1.967346939
388,18.84,-1.771428571
389,20.135,-1.248979592
390,16.94,-1.412244898
391,16.515,-1.836734694
392,16.42,-1.248979592
393,17.48,-1.575510204
394,15.025,-1.542857143
395,14.99,-1.151020408
396,17.095,-0.987755102
397,17.925,-1.314285714
398,17.245,-0.693877551
399,17.49,-0.791836735
400,19.195,-1.47755102
401,17.765,-1.47755102
402,16.395,-1.902040816
403,18.655,-0.92244898
404,18.525,-0.987755102
405,17.48,-1.47755102
406,20.025,-1.47755102
407,21.97,-1.085714286
408,21.68,-0.497959184
409,21.23,-1.575510204
410,19.135,-1.869387755
411,16.85,-1.379591837
412,16.86,-1.346938776
413,16.695,-0.465306122
414,17.885,-0.595918367
415,15.99,-1.967346939
416,14.81,-0.465306122
417,12.52,-0.693877551
418,12.14,-1.771428571
419,13.955,-1.444897959
420,15.66,-1.510204082
421,14.845,-0.595918367
422,13.145,-0.530612245
423,12.2,-0.530612245
